bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_renovated,lat,sqft_living15,sqft_lot15,price
3.0,2.25,1180.0,5650.0,1.0,0.0,0.0,2.0,1180.0,0.0,0.0,47.5112,1840.0,5650.0,221900
3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,2.0,2170.0,400.0,1,47.721000000000004,1690.0,7639.0,538000
2.0,1.0,770.0,10000.0,1.0,0.0,0.0,1.0,770.0,0.0,0,47.7379,2720.0,8062.0,180000
4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,2.0,1050.0,910.0,0.0,47.5208,1360.0,5000.0,604000
3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3.0,1560.0,0.0,0.0,47.6168,1800.0,7503.0,510000
3.0,4.5,5420.0,101930.0,1.0,0.0,0.0,4.0,3890.0,1530.0,0.0,47.6561,4760.0,101930.0,1225000
3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,2.0,1715.0,0.0,0.0,47.3097,2238.0,6819.0,257500
3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,2.0,1060.0,293.1881173594132,0.0,47.4095,1650.0,9711.0,291850
3.0,1.0,1910.0,7470.0,1.0,0.0,0.0,2.0,1050.0,730.0,0.0,47.5123,1780.0,8113.0,229500
3.0,2.5,1890.0,7620.0,2.0,0.0,0.0,2.0,1890.0,0.0,0.0,47.3684,1840.0,7570.0,323000
3.0,2.5,3560.0,9796.0,1.0,0.0,0.0,3.0,1860.0,1700.0,0.0,47.6007,2210.0,8925.0,662500
2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,2.5,1560.0,300.0,0.0,47.69,1330.0,6000.0,468000
3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,2.5,1430.0,0.0,0.0,47.7558,1780.0,12697.0,310000
3.0,2.25,1370.0,9680.0,1.0,0.0,0.0,2.0,1370.0,0.0,0.0,47.6127,1370.0,10208.0,400000
5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,2.0,1810.0,0.0,0.0,47.67,1360.0,4850.0,530000
4.0,3.0,2950.0,5000.0,2.0,0.0,0.0,2.5,1980.0,970.0,0.0,47.5714,2140.0,4000.0,650000
3.0,2.0,1910.0,14040.0,2.0,0.0,0.0,2.0,1890.0,0.0,0.0,47.7277,1890.0,14018.0,395000
4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,2.0,1600.0,0.0,0.0,47.6648,1610.0,4300.0,485000
2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,2.0,1200.0,0.0,0.0,47.3089,1060.0,5095.0,189000
3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,2.0,1250.0,0.0,0.0,47.3343,1280.0,7620.0,230000
4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,2.0,860.0,760.0,0.0,47.7025,1400.0,4980.0,385000
3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3.0,2330.0,720.0,0.0,47.5316,4110.0,20336.0,2000000
5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3.0,2270.0,0.0,0.0,47.5717,2240.0,7005.0,285000
2.0,1.5,1070.0,9643.0,1.0,0.0,0.0,2.0,1070.0,0.0,0.0,47.3533,1220.0,8386.0,252700
3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,3.0,2450.0,0.0,0.0,47.3739,2200.0,6865.0,329000
3.0,2.0,1710.0,4697.0,1.4907683290187075,0.0,0.0,1.0,1710.0,0.0,0.0,47.3048,1030.0,4705.0,233000
3.0,1.75,2450.0,2691.0,2.0,0.0,0.0,3.0,1750.0,700.0,0.0,47.6386,1760.0,3573.0,937000
3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,3.0,1400.0,293.1881173594132,0.0,47.6221,1860.0,3861.0,667000
3.0,1.75,1910.0,6380.0,1.0,0.0,0.0,2.0,790.0,730.0,0.0,47.695,1520.0,6235.0,438000
4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3.0,2570.0,0.0,0.0,47.7073,2630.0,6026.0,719000
3.0,2.5,2320.0,3980.0,2.0,0.0,0.0,3.0,2320.0,0.0,0.0,47.5391,2580.0,3980.0,580500
2.0,1.5,1190.0,7620.0,3.0,0.0,0.0,2.0,1190.0,0.0,0.0,47.7274,1390.0,1756.0,280000
4.0,1.75,2330.0,5000.0,1.5,0.0,0.0,2.0,1560.0,820.0,0.0,47.6823,1460.0,5000.0,687500
3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,3.0,1090.0,0.0,0.0,47.6889,1570.0,5080.0,535000
4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,2.0,1280.0,780.0,0.0,47.4276,2020.0,8720.0,322500
3.0,2.5,1910.0,3060.0,1.4907683290187075,0.0,0.0,2.5,1510.0,790.0,0,47.5717,1590.0,3264.0,696000
4.0,1.0,1660.0,7620.0,1.0,0.0,0.0,1.0,1560.0,730.0,0.0,47.6621,2160.0,11467.0,550000
4.0,2.0,2360.0,6000.0,2.0,0.0,0.0,3.0,2360.0,0.0,0.0,47.5717,1840.0,4700.0,640000
4.0,1.0,1220.0,8075.0,1.0,0.0,0.0,2.0,890.0,330.0,0.0,47.3341,1290.0,7800.0,240000
4.0,2.25,2620.0,7553.0,2.0,0.0,0.0,3.0,2620.0,0.0,0.0,47.5301,2620.0,11884.0,605000
4.0,2.5,1910.0,5520.0,2.0,0.0,0.0,3.0,2570.0,0.0,0.0,47.6145,2470.0,5669.0,625000
4.0,2.25,4220.0,24186.0,1.0,0.0,0.0,3.0,2600.0,1620.0,0.0,47.445,2410.0,30617.0,775000
5.0,2.75,3595.0,7620.0,2.0,0.0,0.0,3.0,3595.0,0.0,0.0,47.6848,3625.0,5639.0,861990
3.0,1.0,1570.0,2280.0,2.0,0.0,0.0,2.0,1570.0,0.0,0.0,47.6413,1580.0,2640.0,685000
3.0,1.0,1280.0,9656.0,1.0,0.0,0.0,2.5,920.0,360.0,0.0,47.5717,1840.0,8808.0,309000
3.0,2.5,3160.0,13603.0,2.0,0.0,0.0,3.0,3160.0,0.0,0.0,47.7443,3050.0,7620.0,488000
3.0,1.0,1910.0,8528.0,1.0,0.0,0.0,1.0,990.0,0.0,0.0,47.3066,1228.0,8840.0,210490
4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,3.0,2290.0,0.0,0.0,47.6194,2680.0,13685.0,785000
3.0,1.75,1250.0,5963.0,1.0,0.0,0.0,2.0,1250.0,0.0,0.0,47.6796,970.0,5100.0,450000
3.0,2.5,2753.0,65005.0,1.0,1.0,2.0,3.0,2165.0,293.1881173594132,0,47.4041,2680.0,7620.0,1350000
